Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,1,70,11200,1,1.2614,1,1,1,1,1,8,1,1,1,1,5,5,1965,1965,2,1,2,3,1,0,1,1,2,1,1,1,5,906,1,0,134,1040,1,1,1,1,1040,0,0,1040,1,0,1,0,3,1,1,5,1,0,0.44958,2,1965,1,1,384,1,1,1,0,0,0,0,0,0,1.0237,1.2206,0.9236,0,2,2008,1,1,129500
12,60,1,85,11924,1,0.73947,2,1,1,1,1,7,1,1,1,2,9,5,2005,2006,2,1,8,7,3,286,3,1,1,3,1,1,2,998,1,0,177,1175,1,1,1,1,1182,1142,0,2324,1,0,3,0,4,1,3,11,1,2,1,3,2005,3,3,736,1,1,1,147,21,0,0,0,0,1.1036,0.64791,1.1203,0,7,2006,2,2,345000
13,20,1,59.958,12968,1,0.98717,3,1,1,1,1,8,1,1,1,1,5,6,1962,1962,2,1,2,5,1,0,1,1,2,1,1,1,3,737,1,0,175,912,1,2,1,1,912,0,0,912,1,0,1,0,2,1,1,4,1,0,0.28857,2,1962,1,1,352,1,1,1,140,0,0,0,176,0,1.1131,1.343,1.046,0,9,2008,1,1,144000
14,20,1,91,10652,1,0.92851,2,1,1,1,1,2,1,1,1,1,7,5,2006,2007,1,1,1,1,3,306,2,1,1,2,1,2,1,0,1,0,1494,1494,1,1,1,1,1494,0,0,1494,0,0,2,0,3,1,2,7,1,1,1,1,2006,2,3,840,1,1,1,160,33,0,0,0,0,0.95685,0.62732,0.90952,0,8,2007,2,2,279500
15,20,1,59.981,10920,1,1.2049,2,1,1,2,1,1,1,1,1,1,6,5,1960,1960,2,1,3,2,2,212,1,1,2,1,1,1,4,733,1,0,520,1253,1,2,1,1,1253,0,0,1253,1,0,1,1,2,1,1,5,1,1,3,1,1960,2,1,352,1,1,1,0,213,176,0,0,0,0.80864,3,0.89916,0,5,2008,1,1,157000
16,45,2,51,6120,1,1.2116,1,1,1,2,1,11,1,1,1,6,7,8,1929,2001,1,1,4,4,1,0,1,1,3,1,1,1,1,0,1,0,832,832,1,1,1,2,854,0,0,854,0,0,1,0,2,1,1,5,1,0,-0.21797,2,1991,1,2,576,1,1,1,48,112,0,0,0,0,0.74984,2,0.63844,0,7,2007,1,1,132000
17,20,1,59.983,11241,1,0.82192,2,1,1,3,1,1,1,1,1,1,6,7,1970,1970,1,1,4,4,2,180,1,1,2,1,1,1,3,578,1,0,426,1004,1,1,1,1,1004,0,0,1004,1,0,1,0,2,1,1,5,1,1,2,1,1970,3,2,480,1,1,1,0,0,0,0,0,0,0.94377,2.2317,1,700,3,2010,1,1,149000
18,90,1,72,10791,1,0.89364,1,1,1,1,1,8,1,1,3,1,4,5,1967,1967,1,1,3,2,1,0,1,1,4,1.5378,1.2882,0.76182,0.82335,0,1.6556,0,0,0,1,2,1,1,1296,0,0,1296,0,0,2,0,2,2,1,6,1,0,0.032238,5,1967,1,2,516,1,1,1,0,0,0,0,0,0,1.0855,1.8833,1,500,10,2006,1,1,90000
19,20,1,66,13695,1,1.0491,1,1,1,1,1,10,6,1,1,1,5,5,2004,2004,1,1,1,1,1,0,1,1,1,1,1,1,2,646,1,0,468,1114,1,1,1,1,1114,0,0,1114,1,0,1,1,3,1,2,6,1,0,0.65413,2,2004,1,2,576,1,1,1,0,102,0,0,0,0,1.1755,1.8531,1.1675,0,6,2008,1,1,159000
20,20,1,70,7560,1,1.2719,1,1,1,1,1,1,1,1,1,1,5,6,1958,1965,2,1,7,5,1,0,1,1,2,1,1,1,6,504,1,0,525,1029,1,2,1,1,1339,0,0,1339,0,0,1,0,3,1,1,6,3,0,0.37121,1,1958,1,1,294,1,1,1,0,0,0,0,0,0,0.75137,1,0.88293,0,5,2009,3,3,139000
21,60,1,101,14215,1,0.893,2,1,1,2,1,7,1,1,1,2,8,5,2005,2006,1,1,1,1,2,380,2,1,1,3,1,2,1,0,1,0,1158,1158,1,1,1,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,1,1,1,3,2005,2,3,853,1,1,1,240,154,0,0,0,0,0.8619,0.76502,0.90976,0,11,2006,2,2,325300
22,45,2,57,7449,1,1,1,2,1,1,1,16,1,1,1,6,7,7,1930,1950,1,1,4,4,1,0,1,1,1,1,1,1,1,0,1,0,637,637,1,1,1,3,1108,0,0,1108,0,0,1,0,3,1,2,6,1,1,1,1,1930,1,1,280,1,1,2,0,0,205,0,0,0,0.80219,2,0.91752,0,6,2007,1,1,139400
23,20,1,75,9742,1,1.3072,1,1,1,1,1,2,1,1,1,1,8,5,2002,2002,2,1,1,1,2,281,2,1,1,2,1,1,1,0,1,0,1777,1777,1,1,1,1,1795,0,0,1795,0,0,2,0,3,1,2,7,1,1,1,1,2002,2,2,534,1,1,1,171,159,0,0,0,0,0.85026,1.1806,0.94234,0,9,2008,1,1,230000
24,120,2,44,4224,1,1.1004,1,1,1,1,1,20,1,1,2,1,5,7,1976,1976,1,1,6,6,1,0,1,1,1,2,1,1,2,840,1,0,200,1040,1,2,1,1,1060,0,0,1060,1,0,1,0,3,1,1,6,1,1,2,1,1976,1,2,572,1,1,1,100,110,0,0,0,0,0.88475,0.90843,1.032,0,6,2007,1,1,129900
25,20,1,59.974,8246,1,0.69556,2,1,1,1,1,8,1,1,1,1,5,8,1968,2001,1,1,5,5,1,0,1,2,2,1,1,4,5,188,5,668,204,1060,1,1,1,1,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,2,1,1968,1,1,270,1,1,1,406,90,0,0,0,0,0.9995,1,0.94705,0,5,2010,1,1,154000
26,20,1,110,14230,1,1.0562,1,1,1,2,1,7,1,1,1,1,8,5,2007,2007,1,1,1,1,3,640,2,1,1,2,1,1,1,0,1,0,1566,1566,1,1,1,1,1600,0,0,1600,0,0,2,0,3,1,2,7,1,1,1,1,2007,2,3,890,1,1,1,0,56,0,0,0,0,1.0426,1.0782,0.88889,0,7,2009,1,1,256300
27,20,1,60,7200,1,0.86524,1,1,1,2,1,1,1,1,1,1,5,7,1951,2000,1,1,4,4,1,0,1,1,2,1,1,4,4,234,2,486,180,900,1,2,1,1,900,0,0,900,0,1,1,0,3,1,2,5,1,0,1.0932,2,2005,1,2,576,1,1,1,222,32,0,0,0,0,1.1037,1.959,0.89208,0,5,2010,1,1,134800
28,20,1,98,11478,1,0.97541,1,1,1,1,1,7,1,1,1,1,8,5,2007,2008,1,1,1,1,3,200,2,1,1,3,1,1,2,1218,1,0,486,1704,1,1,1,1,1704,0,0,1704,1,0,2,0,3,1,2,7,1,1,1,1,2008,2,3,772,1,1,1,0,50,0,0,0,0,1.2261,-0.39762,0.89807,0,5,2010,1,1,306000
29,20,1,47,16321,1,0.83716,2,1,1,3,1,1,1,1,1,1,5,6,1957,1997,1,1,3,2,1,0,1,1,2,1,1,3,4,1277,1,0,207,1484,1,2,1,1,1600,0,0,1600,1,0,1,0,2,1,1,6,1,2,1,1,1957,2,1,319,1,1,1,288,258,0,0,0,0,0.72943,3.6385,0.80318,0,12,2006,1,1,207500
30,30,2,60,6324,1,1.0393,2,1,1,1,1,11,2,4,1,1,4,6,1927,1950,1,1,3,2,1,0,1,1,3,1,1,1,1,0,1,0,520,520,1,4,2,1,520,0,0,520,0,0,1,0,1,1,4,4,1,0,0.20773,2,1920,1,1,240,2,1,1,49,0,87,0,0,0,1.1301,2.2772,1.1127,0,5,2008,1,1,68500
31,70,5,50,8500,1,2,1,1,1,1,1,16,2,1,1,2,4,4,1920,1950,4,1,7,9,1,0,1,3,3,1,1,1,1,0,1,0,649,649,1,2,2,1,649,668,0,1317,0,0,1,0,3,1,1,6,1,0,2.65,2,1920,1,1,250,1,2,2,0,54,172,0,0,0,0.89416,1,1.0653,0,7,2008,1,1,40000
32,20,1,60.006,8544,1,1.0718,2,1,1,3,1,8,1,1,1,1,5,6,1966,2006,1,1,2,3,1,0,1,1,2,1,1,1,1,0,1,0,1228,1228,1,3,1,1,1228,0,0,1228,0,0,1,1,3,1,2,6,1,0,0.64096,1,1966,1,1,271,1,1,1,0,65,0,0,0,0,1.053,1,0.99213,0,6,2008,1,1,149350
33,20,1,85,11049,1,1.2479,1,1,1,2,1,2,1,1,1,1,8,5,2007,2007,1,1,1,1,1,0,2,1,1,3,1,2,1,0,1,0,1234,1234,1,1,1,1,1234,0,0,1234,0,0,2,0,3,1,2,7,1,0,-0.027992,1,2007,2,2,484,1,1,1,0,30,0,0,0,0,1.0382,0.84091,0.98033,0,1,2008,1,1,179900
34,20,1,70,10552,1,1.2107,2,1,1,1,1,1,1,1,1,1,5,5,1959,1959,2,1,7,9,1,0,1,1,2,1,1,1,5,1018,1,0,380,1398,1,3,1,1,1700,0,0,1700,0,1,1,1,4,1,2,6,1,1,1,1,1959,2,2,447,1,1,1,0,38,0,0,0,0,0.9673,0.9044,1.0215,0,4,2010,1,1,165500
35,120,1,60,7313,1,1.3421,1,1,1,1,1,7,1,1,2,1,9,5,2005,2005,2,1,3,2,2,246,3,1,1,3,1,1,2,1153,1,0,408,1561,1,1,1,1,1561,0,0,1561,1,0,2,0,2,1,3,6,1,1,1,1,2005,3,2,556,1,1,1,203,47,0,0,0,0,0.92217,1.2919,1.0007,0,8,2007,1,1,277500
36,60,1,108,13418,1,0.85426,1,1,1,1,1,7,1,1,1,2,8,5,2004,2005,1,1,1,1,3,132,2,1,1,3,1,2,1,0,1,0,1117,1117,1,1,1,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,1,1,1,3,2004,3,3,691,1,1,1,113,32,0,0,0,0,1.1625,-0.031815,0.9283,0,9,2006,1,1,309000
37,20,1,112,10859,1,0.85233,1,1,1,2,1,2,1,1,1,1,5,5,1994,1995,1,1,1,1,1,0,1,1,1,2,1,1,1,0,1,0,1097,1097,1,1,1,1,1097,0,0,1097,0,0,1,1,3,1,1,6,1,0,0.95888,1,1995,1,2,672,1,1,1,392,64,0,0,0,0,0.81393,1.8456,0.85392,0,6,2009,1,1,145000
38,20,1,74,8532,1,1.1247,1,1,1,1,1,1,1,1,1,1,5,6,1954,1990,2,1,4,4,2,650,1,1,2,1,1,1,5,1213,1,0,84,1297,1,3,1,1,1297,0,0,1297,0,1,1,0,3,1,1,5,1,1,2,1,1954,3,2,498,1,1,1,0,0,0,0,0,0,1.0135,1.7053,0.89676,0,10,2009,1,1,153000
39,20,1,68,7922,1,1.0703,1,1,1,1,1,1,1,1,1,1,5,7,1953,2007,1,1,1,1,1,0,1,2,2,1,1,1,2,731,1,0,326,1057,1,2,1,1,1057,0,0,1057,1,0,1,0,3,1,2,5,1,0,0.66328,2,1953,1,1,246,1,1,1,0,52,0,0,0,0,1.0209,1.2535,0.78612,0,1,2010,1,3,109000
40,90,1,65,6040,1,0.59795,1,1,1,1,1,4,1,1,3,1,4,5,1955,1955,1,1,10,5,1,0,1,1,1,6.316,1.5363,0.43193,0.92901,0,-0.11455,0,0,0,1,2,2,4,1152,0,0,1152,0,0,2,0,2,2,4,6,1,0,0.73944,0.65203,2005,-0.90164,0,0,1.6307,1.6697,2,0,0,0,0,0,0,0.73619,0.060959,1.2278,0,6,2008,1,6,82000
41,20,1,84,8658,1,0.87608,1,1,1,1,1,1,1,1,1,1,6,5,1965,1965,1,1,4,4,2,101,1,1,2,1,1,1,5,643,1,0,445,1088,1,1,1,1,1324,0,0,1324,0,0,2,0,3,1,1,6,1,1,2,1,1965,2,2,440,1,1,1,0,138,0,0,0,0,0.78588,3,0.86078,0,12,2006,1,3,160000
42,20,1,115,16905,1,0.79871,1,1,1,1,1,15,1,1,1,1,5,6,1959,1959,1,1,1,1,1,0,1,2,2,1,1,3,4,967,1,0,383,1350,1,3,1,1,1328,0,0,1328,0,1,1,1,2,1,1,5,1,2,1,1,1959,2,1,308,1,1,3,0,104,0,0,0,0,0.93536,2.9979,0.87179,0,7,2007,1,1,170000
43,85,1,59.968,9180,1,0.78801,2,1,1,3,1,10,1,1,1,5,5,7,1983,1983,1,1,2,3,1,0,1,1,2,2,1,2,3,747,3,93,0,840,1,3,1,1,884,0,0,884,1,0,1,0,2,1,2,5,1,0,0.88489,1,1983,2,2,504,1,3,1,240,0,0,0,0,0,0.73722,1,1.0196,0,12,2007,1,1,144000
44,20,1,60.006,9200,1,1.0795,2,1,1,3,1,2,1,1,1,1,5,6,1975,1980,2,1,1,1,1,0,1,1,2,2,1,2,6,280,4,491,167,938,1,2,1,1,938,0,0,938,1,0,1,0,3,1,1,5,1,0,1.3516,2,1977,1,1,308,1,1,1,145,0,0,0,0,0,1.0682,1,1.0516,0,7,2008,1,1,130250
45,20,1,70,7945,1,0.86255,1,1,1,1,1,1,1,1,1,1,5,6,1959,1959,1,1,7,4,1,0,1,1,2,1,1,1,3,179,4,506,465,1150,1,1,1,2,1150,0,0,1150,1,0,1,0,3,1,1,6,1,0,-1.0541,1,1959,2,1,300,1,1,1,0,0,0,0,0,0,1.0778,1.9662,0.99876,0,5,2006,1,1,141000
46,120,1,61,7658,1,1.5804,1,1,1,1,1,7,1,1,2,1,9,5,2005,2005,2,1,3,2,2,412,3,1,1,3,1,1,2,456,1,0,1296,1752,1,1,1,1,1752,0,0,1752,1,0,2,0,2,1,3,6,1,1,1,1,2005,2,2,576,1,1,1,196,82,0,0,0,0,0.87148,0.93107,0.96018,0,2,2010,1,1,319900
47,50,1,48,12822,1,1.1032,2,1,1,3,1,13,1,1,1,3,7,5,2003,2003,1,1,1,1,1,0,2,1,1,3,1,1,2,1351,1,0,83,1434,1,1,1,1,1518,631,0,2149,1,0,1,1,1,1,2,6,1,1,4,1,2003,2,2,670,1,1,1,168,43,0,0,198,0,1.0809,2.4543,1.0077,0,8,2009,1,3,239686
48,20,3,84,11096,1,1.9327,1,1,1,1,1,5,1,1,1,1,8,5,2006,2006,1,1,1,1,1,0,2,1,1,2,1,2,2,24,1,0,1632,1656,1,1,1,1,1656,0,0,1656,0,0,2,0,3,1,2,7,1,0,0.27188,1,2006,2,3,826,1,1,1,0,146,0,0,0,0,0.94466,0.94894,0.92437,0,7,2007,1,1,249700
49,190,2,33,4456,1,1.4042,1,1,1,1,1,3,1,1,5,2,4,5,1920,2008,1,1,3,2,1,0,1,1,3,1,1,1,1,0,1,0,736,736,1,3,1,1,736,716,0,1452,0,0,2,0,2,3,1,8,1,0,0.50267,1.8841,2005.1,-0.67957,0,0,1.2977,1.1153,2,0,0,102,0,0,0,1.1668,2.5322,1.154,0,6,2009,2,2,113000
50,20,1,66,7742,1,1.0294,1,1,1,1,1,8,1,1,1,1,5,7,1966,1966,1,1,2,3,1,0,1,1,2,1,1,1,4,763,1,0,192,955,1,1,1,1,955,0,0,955,1,0,1,0,3,1,1,6,1,0,-0.0062757,1,1966,1,1,386,1,1,1,0,0,0,0,0,0,1.0197,1,0.98151,0,1,2007,1,1,127000
51,60,1,59.98,13869,1,1.169,3,1,1,2,1,6,1,1,1,2,6,6,1997,1997,1,1,1,1,1,0,1,1,1,2,1,2,2,182,1,0,612,794,1,3,1,1,794,676,0,1470,0,1,2,0,3,1,1,6,1,0,0.64926,1,1997,3,2,388,1,1,1,0,75,0,0,0,0,0.95145,0.57249,0.98135,0,7,2007,1,1,177000
52,50,2,52,6240,1,0.86793,1,1,1,1,1,11,1,1,1,3,6,6,1934,1950,1,1,4,4,1,0,1,1,1,1,1,1,1,0,1,0,816,816,1,2,1,1,816,0,360,1176,0,0,1,0,3,1,1,6,1,1,1,2,1985,1,2,528,1,1,1,112,0,0,0,0,0,1.0502,1,1,400,9,2006,1,1,114500
53,90,2,110,8472,2,1.0322,3,2,1,2,2,16,8,1,3,1,5,5,1963,1963,1,1,4,4,1,0,4,1,2,2,1,3,6,104,6,712,0,816,1,2,2,1,816,0,0,816,1,0,1,0,2,1,1,5,1,0,0.21004,5,1963,1,2,516,1,1,1,106,0,0,0,0,0,1.3626,0.10889,1.2162,0,5,2010,1,1,110000
54,20,1,68,50271,1,1.0028,2,4,1,1,1,23,1,1,1,1,9,5,1981,1987,1,3,8,7,1,0,2,1,2,3,1,3,2,1810,1,0,32,1842,1,3,1,1,1842,0,0,1842,2,0,0,1,0,1,2,5,1,1,1,1,1981,3,3,894,1,1,1,857,72,0,0,0,0,0.7737,2.4695,0.77133,0,11,2006,1,1,385000
55,80,1,60,7134,1,1.1603,1,2,1,1,2,1,1,1,1,4,5,5,1955,1955,1,1,3,2,1,0,1,1,2,1,1,1,3,384,1,0,0,384,1,2,1,1,1360,0,0,1360,0,0,1,0,3,1,1,6,3,1,2,2,1962,1,2,572,1,1,1,0,50,0,0,0,0,0.84445,1,0.857,0,2,2007,1,1,130000
56,20,1,100,10175,1,0.82556,2,1,1,1,1,1,1,1,1,1,6,5,1964,1964,1,1,2,5,2,272,1,1,2,1,1,1,4,490,1,0,935,1425,1,3,1,1,1425,0,0,1425,0,0,2,0,3,1,1,7,1,1,1,1,1964,2,2,576,1,1,1,0,0,0,407,0,0,1.1054,1.4844,1.0107,0,7,2008,1,1,180500
57,160,3,24,2645,1,2,1,1,1,1,1,5,1,1,4,2,8,5,1999,2000,1,1,3,2,2,456,2,1,1,2,1,1,2,649,1,0,321,970,1,1,1,1,983,756,0,1739,1,0,2,1,3,1,2,7,1,0,-0.054793,1,1999,3,2,480,1,1,1,115,0,0,0,0,0,0.96574,1.5846,1.0723,0,8,2009,1,3,172500
58,60,1,89,11645,1,1.1668,2,1,1,2,1,2,1,1,1,2,7,5,2004,2004,1,1,1,1,1,0,2,1,1,2,1,1,1,0,1,0,860,860,1,1,1,1,860,860,0,1720,0,0,2,1,3,1,2,7,1,0,0.10125,1,2004,2,2,565,1,1,1,0,70,0,0,0,0,0.97065,1.5629,1.0137,0,8,2006,1,1,196500
59,60,1,66,13682,1,1.3722,3,3,1,3,1,19,1,1,1,2,10,5,2006,2006,2,1,1,1,2,1031,3,1,1,3,1,3,1,0,1,0,1410,1410,1,1,1,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,1,1,1,3,2006,3,3,641,1,1,1,192,0,37,0,0,0,0.86768,0.81893,1.0465,0,10,2006,2,2,438780
60,20,1,60,7200,1,1.076,1,2,1,1,1,2,1,1,1,1,5,7,1972,1972,1,1,2,3,1,0,1,1,2,1,1,2,3,632,1,0,148,780,1,1,1,1,780,0,0,780,0,0,1,0,2,1,1,4,1,0,-0.097867,2,1973,1,1,352,1,1,1,196,0,0,0,0,0,0.94347,1,0.82844,0,1,2008,1,1,124900
61,20,1,63,13072,1,1.1825,1,1,1,1,1,10,6,1,1,1,6,5,2004,2004,1,1,1,1,1,0,1,1,1,2,1,1,3,941,1,0,217,1158,1,1,1,1,1158,0,0,1158,1,0,1,1,3,1,2,5,1,0,1.1863,2,2006,1,2,576,1,1,1,0,50,0,0,0,0,1.1949,0.85027,1.0696,0,5,2006,2,2,158000
62,75,2,60,7200,1,1.3378,1,1,1,1,1,16,1,1,1,7,5,7,1920,1996,1,1,3,2,1,0,1,1,3,1,3,1,1,0,1,0,530,530,1,2,2,1,581,530,0,1111,0,0,1,0,3,1,4,6,1,0,0.44733,2,1935,1,1,288,1,1,2,0,0,144,0,0,0,0.95095,0.21508,0.89783,0,3,2007,1,1,101000
63,120,1,44,6442,1,1.1833,2,1,1,1,1,7,1,1,2,1,8,5,2006,2006,1,1,1,1,3,178,2,1,1,2,2,4,2,24,1,0,1346,1370,1,1,1,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,1,1,2006,2,2,484,1,1,1,120,49,0,0,0,0,0.89826,1.0991,0.98612,0,10,2007,1,1,202500
64,70,2,50,10300,1,1.164,2,2,1,1,1,3,4,2,1,2,7,6,1921,1950,1,1,9,8,1,0,1,1,3,1,1,1,1,0,1,0,576,576,1,3,1,1,902,808,0,1710,0,0,2,0,3,1,1,9,1,0,-1.0787,2,1990,1,2,480,1,1,1,12,11,64,0,0,0,1.1437,2,1.0964,0,4,2010,1,1,140000
65,60,1,59.996,9375,1,1.1494,1,1,1,1,1,2,1,1,1,2,7,5,1997,1998,1,1,1,1,2,573,1,1,1,2,1,1,2,739,1,0,318,1057,1,1,1,1,1057,977,0,2034,1,0,2,1,3,1,2,8,1,0,-0.6001,1,1998,2,2,645,1,1,1,576,36,0,0,0,0,1.0211,2,0.95474,0,2,2009,1,1,219500
66,60,1,76,9591,1,1.0405,1,1,1,1,1,7,1,1,1,2,8,5,2004,2005,1,1,1,1,2,344,2,1,1,3,1,2,1,0,1,0,1143,1143,1,1,1,1,1143,1330,0,2473,0,0,2,1,4,1,2,9,1,1,1,3,2004,2,3,852,1,1,1,192,151,0,0,0,0,1.0171,0.95327,0.99192,0,10,2007,1,1,317000
67,20,1,60.012,19900,1,0.9984,1,1,1,1,1,1,7,1,1,1,7,5,1970,1989,1,1,5,5,2,287,1,1,2,2,1,3,2,912,1,0,1035,1947,1,2,1,1,2207,0,0,2207,1,0,2,0,3,1,1,7,3,1,1,1,1970,2,2,576,1,1,1,301,0,0,0,0,0,1.0436,1.5774,0.88121,0,7,2010,1,1,180000
68,20,1,72,10665,1,1.0868,2,1,1,1,1,2,1,1,1,1,7,5,2003,2003,1,1,1,1,2,167,2,1,1,2,1,2,2,1013,1,0,440,1453,1,1,1,1,1479,0,0,1479,1,0,2,0,3,1,2,7,1,0,-0.27321,1,2003,2,2,558,1,1,1,144,29,0,0,0,0,1.0557,0.62828,0.96785,0,6,2007,1,1,226000
69,30,2,47,4608,1,1.1527,1,1,1,2,1,3,3,1,1,1,4,6,1945,1950,1,1,3,2,1,0,1,2,2,1,1,1,1,0,1,0,747,747,1,2,1,1,747,0,0,747,0,0,1,0,2,1,1,4,1,0,0.53991,1,1945,1,1,220,1,1,1,0,0,0,0,0,0,0.98427,1.6548,0.94715,0,6,2010,1,1,80000
70,50,1,81,15593,1,1.2784,1,1,1,2,1,17,1,1,1,3,7,4,1953,1953,1,1,7,10,1,0,2,1,2,1,1,1,4,603,1,0,701,1304,2,2,1,1,1304,983,0,2287,0,0,2,0,3,1,1,7,1,1,2,1,1953,3,2,667,1,1,1,0,21,114,0,0,0,1.027,1.5227,0.88207,0,7,2006,1,1,225000
