Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1471,120,5,26,5858,1,2.0982,2,1,1,4,1,1,1,1,2,1,7,5,1999,1999,1,1,2,2,1,0,2,1,1,2,1,1,1,1051,4,0,354,1405,1,1,1,1,1337,0,0,1337,1,0,2,0,2,1,2,5,1,1,3,1,1999,3,2,511,1,1,1,203,68,0,0,0,0,1.0079,-0.71902,0.99063,0,6,2010,1,1
1472,160,2,21,1680,1,1.4387,1,1,1,1,1,21,1,1,4,2,6,5,1971,1971,1,1,3,3,2,504,1,1,2,1,1,1,4,156,1,0,327,483,1,2,1,1,483,504,0,987,0,0,1,1,2,1,1,5,1,0,0.3496,2,1971,1,1,264,1,1,1,275,0,0,0,0,0,1.0111,1.3378,0.97317,0,2,2010,3,1
1473,160,2,21,1680,1,1.4114,1,1,1,1,1,21,1,1,4,2,5,5,1971,1971,1,1,3,3,2,492,1,1,2,1,1,1,4,300,1,0,225,525,1,2,1,1,525,567,0,1092,0,0,1,1,3,1,1,6,1,0,1.0848,2,1997,1,1,320,1,1,1,0,0,0,0,0,0,1.0166,1.4309,1.0121,0,3,2010,1,1
1474,160,1,24,2280,1,1.0558,1,1,1,4,1,22,1,1,4,2,6,6,1975,1975,1,1,5,11,1,0,1,1,2,1,1,1,3,514,1,0,341,855,1,2,1,1,855,601,0,1456,0,0,2,1,3,1,2,6,1,1,2,1,1975,1,2,440,1,1,1,173,0,0,0,0,0,1.0173,1.6823,0.94247,0,6,2010,1,1
1475,120,1,24,2280,1,1.2723,1,1,1,4,1,22,1,1,4,1,7,6,1975,1975,1,1,5,11,1,0,1,1,2,2,1,1,2,0,1,0,836,836,1,1,1,1,836,0,0,836,0,0,1,0,2,1,1,4,1,0,-0.19735,1,1975,1,1,308,1,1,1,0,30,0,0,0,0,1.0002,2.6267,1.0698,0,6,2010,1,1
1476,60,1,102,12858,1,1.2789,2,1,1,1,1,6,1,1,1,2,9,5,2009,2010,1,1,1,1,3,162,3,1,1,3,1,1,2,0,1,0,1590,1590,1,1,1,1,1627,707,0,2334,0,0,2,1,3,1,3,10,1,1,1,1,2009,3,3,751,1,1,1,144,133,0,0,0,0,1.0081,1.1291,1.0821,0,1,2010,2,2
1477,20,1,94,12883,1,1.2209,2,1,1,2,1,6,1,1,1,1,8,5,2009,2010,1,1,1,1,3,256,2,1,1,2,1,1,2,0,1,0,1544,1544,1,1,1,1,1544,0,0,1544,0,0,2,0,3,1,2,7,1,0,-0.70324,1,2009,2,3,868,1,1,1,0,35,0,0,0,0,1.0063,0.83674,1.182,0,6,2010,2,2
1478,20,1,90,11520,1,1.0711,1,1,1,1,1,6,5,1,1,1,9,5,2005,2005,2,1,1,1,2,615,2,1,1,3,1,1,1,110,1,0,1588,1698,1,1,1,1,1698,0,0,1698,0,0,2,0,3,1,3,7,1,1,1,1,2005,3,3,730,1,1,1,192,74,0,0,0,0,0.97609,1.0089,0.90179,0,6,2010,1,1
1479,20,1,79,14122,1,1.3835,2,1,1,1,1,6,1,1,1,1,8,5,2005,2006,2,1,6,6,2,240,2,1,1,3,1,1,1,28,1,0,1794,1822,1,1,1,1,1822,0,0,1822,0,0,2,0,3,1,3,8,1,1,1,1,2005,2,3,678,1,1,1,0,119,0,0,0,0,0.9957,0.72865,0.97631,0,2,2010,1,1
1480,20,1,110,14300,1,0.96952,1,2,1,1,2,6,1,1,1,1,9,5,2003,2004,2,1,1,1,2,1095,3,1,1,3,1,3,1,1373,1,0,1473,2846,1,1,1,1,2696,0,0,2696,1,0,2,1,3,1,3,10,1,2,1,1,2003,3,3,958,1,1,1,220,150,0,0,0,0,0.96304,1.9264,0.77565,0,6,2010,1,1
1481,60,1,105,13650,1,0.9547,1,1,1,2,1,6,1,1,1,2,8,5,2002,2002,1,1,1,1,2,232,2,1,1,2,1,3,1,578,1,0,1093,1671,1,1,1,1,1687,563,0,2250,1,0,2,1,3,1,2,7,1,1,5,1,2002,3,3,756,1,1,1,238,130,0,0,0,0,0.98987,1.3055,0.8079,0,6,2010,1,1
1482,120,1,41,7132,1,1.3567,2,1,1,1,1,6,1,1,2,1,8,5,2006,2006,1,1,1,1,3,178,2,1,1,2,1,4,1,24,1,0,1346,1370,1,1,1,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,1,1,2006,2,2,484,1,1,1,120,49,0,0,0,0,1.0156,1.3593,0.9644,0,4,2010,1,1
1483,20,1,100,18494,1,1.0521,2,1,1,2,1,7,1,1,1,1,6,5,2005,2005,1,1,1,1,1,0,2,1,1,2,1,1,2,0,1,0,1324,1324,1,1,1,1,1324,0,0,1324,0,0,2,0,3,1,2,6,1,0,0.54098,1,2005,3,2,430,1,1,1,36,23,0,0,0,0,0.98394,0.85543,0.95441,0,1,2010,1,1
1484,120,1,43,3203,1,1.367,1,1,1,1,1,24,1,1,2,1,7,5,2006,2006,1,1,1,1,2,14,2,1,1,2,1,2,1,16,1,0,1129,1145,1,1,1,1,1145,0,0,1145,0,0,2,0,2,1,2,6,1,0,0.95498,1,2006,3,2,437,1,1,1,100,116,0,0,0,0,1.011,0.75987,0.99156,0,1,2010,1,1
1485,80,1,67,13300,1,1.2544,2,1,1,1,1,7,1,1,1,4,7,5,2004,2004,1,1,1,1,1,0,2,1,1,2,1,1,1,326,1,0,58,384,1,1,1,1,744,630,0,1374,1,0,2,1,3,1,2,7,1,1,1,3,2004,3,2,400,1,1,1,100,0,0,0,0,0,0.98154,1.7389,0.98141,0,6,2010,1,1
1486,60,1,63,8577,1,1.2873,2,1,1,1,1,7,1,1,1,2,7,5,2004,2004,1,1,1,1,1,0,2,1,1,2,1,1,2,0,1,0,847,847,1,1,1,1,847,886,0,1733,0,0,2,1,3,1,2,7,1,1,1,3,2004,3,2,433,1,1,1,144,48,0,0,0,0,0.99375,1.8908,1.0083,0,4,2010,1,1
1487,60,1,60,17433,1,1.4988,3,1,1,3,1,16,1,1,1,2,8,5,1998,1998,2,1,1,1,2,114,2,1,1,3,1,1,2,0,1,0,1629,1629,1,1,1,1,1645,830,0,2475,0,0,2,1,4,1,2,7,1,1,2,1,1998,3,3,962,1,1,1,23,172,0,0,256,0,0.9764,0.051615,1.2066,0,1,2010,1,1
1488,20,1,73,8987,1,1.2499,1,1,1,1,1,4,1,1,1,1,8,5,2005,2006,1,1,1,1,2,226,2,1,1,2,1,1.3706,2,0,1,0,1595,1595,1,1,1,1,1595,0,0,1595,0,0,2,0,2,1,2,6,1,1,1,1,2005,2,3,880,1,1,1,144,0,0,0,0,0,0.98704,2.1757,1.0297,0,5,2010,1,1
1489,20,3,92,9215,1,1.8407,1,1,1,1,1,4,1,1,1,1,7,5,2009,2010,2,1,1,1,1,0,2,1,1,2,1,1,2,0,1,0,1218,1218,1,1,1,1,1218,0,0,1218,0,0,2,0,2,1,2,4,1,0,0.55571,1,2009,2,2,676,1,1,1,0,136,0,0,0,0,0.98094,-0.80911,1.1242,0,4,2010,2,2
1490,20,3,84,10440,1,1.5577,1,1,1,2,1,4,1,1,1,1,6,5,2005,2005,1,1,1,1,1,0,2,1,1,3,1,1,1,1414,1,0,54,1468,1,1,1,1,1468,0,0,1468,1,0,2,0,2,1,2,6,1,1,1,1,2005,3,2,528,1,1,1,0,102,0,0,216,0,0.96298,1.3723,1.2794,0,5,2010,1,1
1491,60,1,70,11920,1,1.2004,1,1,1,1,1,9,1,1,1,2,7,5,2004,2004,1,1,1,1,2,122,2,1,1,2,1,2,2,0,1,0,831,831,1,1,1,1,831,828,0,1659,0,0,2,1,3,1,2,8,1,0,0.26584,1,2004,2,2,484,1,1,1,144,68,0,0,0,0,1.0098,1.2274,0.98687,0,4,2010,1,1
1492,30,5,70,9800,1,1.7525,1,1,1,2,1,9,2,1,1,1,5,5,1920,1950,1,1,4,4,1,0,1,3,3,1,1,1,2,0,1,0,816,816,1,2,2,2,1012,0,0,1012,0,0,1,0,2,1,1,5,1,0,-0.57046,2,1920,1,1,429,1,1,1,121,0,80,0,0,0,0.99838,0.81779,1.0651,0,4,2010,1,1
1493,20,1,39,15410,1,0.60442,2,1,1,3,1,8,9,1,1,1,6,6,1974,2002,2,1,5,5,4,250,1,2,2,1,1,3,5,126,6,859,223,1208,1,1,1,1,1494,0,0,1494,1,0,2,0,3,1,1,7,1,2,3,1,1974,3,2,461,1,1,1,296,0,186,0,0,0,1.0407,2,1.0286,0,4,2010,1,3
1494,60,1,85,13143,1,1.4892,2,1,1,1,1,16,1,1,1,2,8,5,1993,1993,1,1,3,12,2,504,2,1,1,2,1,1,6,250,6,981,0,1231,1,1,1,1,1251,1098,0,2349,1,0,2,1,4,1,2,9,1,1,2,1,1993,2,3,762,1,1,1,32,130,0,0,0,0,1.0055,1.3465,1.0515,0,6,2010,1,1
1495,60,1,88,11134,1,1.0746,1,1,1,1,1,16,1,1,1,2,8,5,1992,1993,1,1,3,3,2,180,2,1,1,2,1,1,1,1129,1,0,261,1390,1,1,1,1,1402,823,0,2225,1,0,2,1,4,1,2,7,1,1,2,1,1992,2,3,713,1,1,1,198,30,0,0,0,0,0.99578,1.1393,0.91608,0,6,2010,1,1
1496,120,3,25,4835,1,1.6117,2,1,1,3,1,4,1,1,2,1,7,5,2004,2005,1,1,2,2,1,0,2,1,1,3,1,2,1,1298,1,0,190,1488,1,1,1,1,1488,0,0,1488,1,0,2,0,2,1,2,6,1,1,1,1,2004,3,2,506,1,1,1,168,50,0,0,0,0,0.98567,0.90582,0.95389,0,3,2010,1,1
1497,160,3,39,3515,1,2,1,1,1,1,1,4,1,1,2,2,7,5,2004,2004,1,1,1,1,1,0,2,1,1,2,1,1,2,0,1,0,840,840,1,1,1,1,840,840,0,1680,0,0,2,1,2,1,2,3,1,0,1.3998,1,2004,2,2,588,1,1,1,0,111,0,0,0,0,0.96791,-0.16618,0.98353,0,1,2010,1,1
1498,160,3,30,3215,1,2,1,1,1,1,1,4,1,1,2,2,7,5,2004,2004,1,1,2,2,2,120,2,1,1,2,1,2,1,280,1,0,320,600,1,1,1,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,1.2792,2,2004,2,2,480,1,1,1,0,172,0,0,0,0,0.99957,-0.65911,0.99978,0,4,2010,4,1
1499,160,3,24,2544,1,2,1,1,1,1,1,4,1,1,4,2,7,5,2004,2005,1,1,2,2,1,0,2,1,1,2,1,1,1,368,5,42,190,600,1,1,1,1,600,600,0,1200,1,0,2,1,2,1,2,4,1,0,1.2599,2,2004,2,2,480,1,1,1,0,172,0,0,0,0,1.0026,0.35272,1.0133,0,2,2010,1,1
1500,160,3,24,2544,1,2,1,1,1,1,1,4,1,1,4,2,6,5,2005,2005,1,1,1,1,2,216,2,1,1,2,1,1,1,376,1,0,224,600,1,1,1,1,600,636,0,1236,1,0,2,1,2,1,2,4,1,0,-0.36249,2,2005,2,2,480,1,1,1,0,166,0,0,0,0,0.99465,0.40104,1.0843,0,5,2010,1,1
1501,160,3,59.977,2980,1,1.5832,1,1,1,2,1,4,1,1,2,2,6,5,2000,2000,1,1,2,2,2,1159,2,1,1,2,1,1,1,466,1,0,290,756,1,1,1,1,756,756,0,1512,1,0,2,1,2,1,2,5,1,0,1.6738,2,2000,1,2,440,1,1,1,0,32,0,0,0,0,0.96817,0.78595,0.91876,0,5,2010,1,1
1502,160,3,59.961,2403,1,1.6055,2,1,1,4,1,4,1,1,2,2,7,5,2003,2003,1,1,1,1,1,0,2,1,1,2,1,1,1,244,1,0,286,530,1,1,1,1,530,550,0,1080,0,0,2,1,2,1,2,4,1,0,1.6942,1,2003,2,2,496,1,1,1,0,50,0,0,0,0,0.99738,-0.24427,1.0866,0,6,2010,1,1
1503,20,3,57,12853,1,2,2,1,1,1,1,4,1,1,1,1,8,5,2010,2010,1,1,6,6,1,0,2,1,1,3,4,1,1,1032,1,0,610,1642,1,1,1,1,1418,0,0,1418,1,0,1,1,1,1,2,6,1,1,1,1,2010,2,3,852,1,1,1,160,192,0,224,0,0,0.99524,2.4594,1.1897,0,4,2010,2,2
1504,60,3,68,7379,1,1.8809,2,1,1,1,1,4,1,1,1,2,8,5,2000,2000,1,1,1,1,1,0,2,1,1,2,1,1,1,484,1,0,491,975,1,1,1,1,975,873,0,1848,1,0,2,1,3,1,2,7,1,1,2,1,2000,2,2,592,1,1,1,280,184,0,0,0,0,1.0021,0.60923,1.0665,0,4,2010,1,1
1505,20,3,80,8000,1,1.7552,1,1,1,1,1,4,1,1,1,1,7,5,2002,2002,1,1,1,1,1,0,2,1,1,2,1,1,1,833,1,0,659,1492,1,1,1,1,1492,0,0,1492,1,0,2,0,3,1,2,6,1,1,1,1,2002,2,2,596,1,1,1,277,137,0,0,0,0,0.99329,0.59557,1.0456,0,4,2010,1,1
1506,20,1,59.971,10456,1,1.0414,2,1,1,1,1,11,1,1,1,1,6,6,1967,1967,2,1,3,3,2,120,1,1,2,1,1,1,1,506,1,0,1323,1829,1,3,1,1,1829,0,0,1829,1,0,2,0,4,1,1,8,1,0,0.31684,1,1967,2,2,535,1,1,1,0,76,0,0,0,0,1.0115,0.87364,0.81123,0,5,2010,1,1
1507,60,1,80,10791,1,0.87921,1,1,1,1,1,11,1,1,1,2,6,5,1993,1993,1,1,2,2,1,0,1,1,1,2,1,4,1,1137,1,0,143,1280,1,1,1,1,1280,1215,0,2495,1,0,2,1,4,1,2,9,1,1,2,1,1993,1,2,660,1,1,1,224,32,0,0,0,0,1.0058,1.2109,0.74729,0,3,2010,1,1
1508,50,1,59.953,18837,1,1.073,2,1,1,1,1,11,1,1,1,3,6,5,1978,1978,1,1,2,2,1,0,1,1,1,2,1,4,3,687,3,46,491,1224,1,2,1,1,1287,604,0,1891,0,1,3,0,3,1,1,7,1,1,2,1,1978,2,2,678,1,1,1,0,69,0,0,0,0,1.0106,1.3962,0.76641,0,4,2010,1,1
1509,60,1,80,9600,1,0.90192,1,1,1,1,1,11,1,1,1,2,6,6,1971,1971,1,1,2,2,1,0,1,1,2,1,1,1,3,329,1,0,386,715,1,2,1,1,930,715,0,1645,0,0,1,2,4,1,1,7,1,0,1.3394,1,1971,2,2,441,1,1,1,0,78,0,0,0,0,0.98749,3,0.96483,0,6,2010,1,1
1510,20,1,80,9600,1,1.2661,1,1,1,1,1,1,1,1,1,1,5,5,1966,1966,2,1,1,1,2,172,1,1,2,1,1,1,4,698,1,0,534,1232,1,2,1,1,1232,0,0,1232,1,0,1,1,3,1,1,6,1,0,1.236,1,1966,2,2,490,1,1,1,0,224,0,0,0,0,1.0012,0.91794,0.98995,0,4,2010,1,1
1511,20,1,90,9900,1,0.65982,1,1,1,2,1,1,1,1,1,1,5,5,1966,1966,2,1,3,3,1,0,1,1,1,2,1,1,5,1059,1,0,150,1209,1,3,1,1,1209,0,0,1209,1,0,1,0,3,1,1,6,1,0,0.82169,1,1966,2,2,504,1,1,1,0,0,120,0,0,0,0.96709,-0.037671,0.87884,0,4,2010,4,1
1512,20,1,88,9680,1,1.0325,1,1,1,1,1,1,1,1,1,1,5,6,1967,1967,1,1,4,5,2,268,1,1,2,1,1,1,5,1010,1,0,500,1510,1,1,1,1,1510,0,0,1510,1,0,2,0,3,1,2,6,1,0,0.32657,1,1967,2,2,517,1,1,1,0,40,0,0,204,0,0.96458,2,1.2659,0,4,2010,1,1
1513,80,1,59.917,10600,1,2,2,1,1,1,1,1,1,1,1,4,6,5,1964,1964,1,1,3,3,1,0,1,1,2,1,1,1,2,0,1,0,533,533,1,2,1,1,1131,644,0,1775,0,0,2,0,3,1,1,8,1,0,0.1164,1,1964,1,2,480,1,1,1,0,172,0,0,0,0,0.98806,1.4457,1.0762,0,5,2010,3,4
1514,90,1,98,13260,1,0.62766,2,1,1,1,1,1,1,1,3,1,5,6,1962,2001,2,1,3,3,2,144,1,1,2,1,1,1,5,1500,1,0,228,1728,1,2,1,1,1728,0,0,1728,2,0,2,0,6,2,1,10,1,0,0.528,0.6887,2005,1.382,0,0,0.61584,0.84828,1,0,0,0,0,0,0,1.0297,-1.1851,0.93982,0,1,2010,7,3
1515,50,1,68,9724,1,0.83948,1,1,1,1,1,1,1,1,1,3,5,7,1952,2002,1,1,2,2,2,265,2,1,2,1,1,1,6,670,1,0,470,1140,1,3,1,1,1929,532,0,2461,0,0,2,0,3,1,1,7,2,2,1,2,1994,1,2,400,1,1,1,0,0,0,0,0,0,0.95552,3,0.79725,0,3,2010,1,1
1516,50,1,120,17360,1,0.80066,1,1,1,2,1,1,3,1,1,3,6,6,1949,1950,1,1,2,2,3,340,1,2,2,1,1,1,4,300,1,0,482,782,1,2,1,1,1019,537,0,1556,0,0,2,0,3,1,1,6,1,1,1,1,1949,1,2,470,1,1,1,0,0,150,0,0,0,0.98749,1.8671,0.95434,0,1,2010,1,1
1517,85,1,75,11380,1,0.77445,2,1,1,1,1,1,1,1,1,5,6,8,1966,2008,1,1,3,3,2,216,1,1,2,1,1,3,1,944,1,0,136,1080,1,3,1,1,1128,0,0,1128,1,0,1,0,2,1,2,5,1,1,1,1,1966,1,1,315,1,1,1,238,0,0,0,0,0,1.0178,1.0427,1,1500,1,2010,1,1
1518,90,1,70,8267,1,0.90672,1,1,1,2,1,1,2,1,3,1,5,5,1958,1958,1,1,3,3,1,0,1,1,2,1,1,1,2,0,1,0,1604,1604,1,2,1,1,1604,0,0,1604,0,0,2,0,4,2,1,8,1,0,0.4167,1,1958,1,2,576,1,1,1,42,0,0,0,0,0,1.0144,1.8963,0.87441,0,3,2010,1,1
1519,20,1,70,8197,1,1.2538,1,1,1,1,1,1,1,1,1,1,7,5,2003,2009,1,1,1,1,2,506,2,1,1,2,1,1,1,1188,1,0,292,1480,1,1,1,1,1480,0,0,1480,1,0,2,0,3,1,2,7,1,0,0.1194,1,2003,2,2,620,1,1,1,252,73,0,0,0,0,0.98324,1,1,300,2,2010,1,1
1520,20,1,59.963,8050,1,0.98498,2,1,1,1,1,1,1,1,1,1,5,5,1959,1959,2,1,2,2,2,150,1,1,2,1,1,1,5,856,2,162,125,1143,1,2,1,1,1143,0,0,1143,1,0,1,0,3,1,1,6,1,0,0.10159,1,1959,2,1,308,1,1,1,0,0,0,0,0,0,1.0031,2,0.98803,0,5,2010,1,1
1521,20,1,87,10725,1,0.82017,2,1,1,1,1,1,1,1,1,1,5,5,1959,1959,2,1,2,2,2,91,1,1,2,1,1,1,4,936,1,0,270,1206,1,4,1,1,1206,0,0,1206,0,0,1,0,3,1,1,6,1,0,0.73549,1,1959,2,1,312,1,1,1,0,21,0,0,0,0,1.0009,0.67347,0.88355,0,5,2010,1,1
1522,20,1,80,10032,1,1.1738,1,1,1,1,1,1,1,1,1,1,6,5,1959,1959,1,1,4,4,3,432,1,1,2,1,1,1,4,734,1,0,510,1244,1,1,1,1,1580,0,0,1580,1,0,1,1,3,1,1,6,1,2,1,1,1956,1,2,440,1,1,1,0,28,0,0,160,0,0.9762,3,1.2425,0,6,2010,1,1
1523,50,1,60,8382,1,1.0655,1,1,1,1,1,1,1,1,1,3,4,5,1956,1956,1,1,2,2,1,0,1,1,2,1,1,1,2,0,1,0,832,832,1,2,1,2,832,505,0,1337,0,0,1,0,3,1,1,5,1,0,1.026,1,1956,1,1,263,1,1,1,0,0,0,0,0,0,1.0039,1.4901,0.8254,0,2,2010,1,1
1524,20,1,60,10950,1,1.0293,1,1,1,1,1,1,1,1,1,1,5,7,1952,1952,1,1,8,7,1,0,1,1,2,1,1,1,5,339,1,0,525,864,1,2,1,1,1064,0,0,1064,0,1,1,0,2,1,4,4,1,0,1.6679,2,1952,1,1,318,1,1,1,0,0,0,0,0,0,0.9594,0.43948,0.85457,0,5,2010,1,1
1525,20,1,119,10895,1,0.5573,1,1,1,2,1,1,1,1,1,1,5,6,1955,1955,1,1,2,2,1,0,1,2,2,1,1,1,4,648,1,0,324,972,1,2,1,1,972,0,0,972,0,0,1,0,3,1,1,5,1,0,0.34824,1,1955,1,1,305,1,1,1,0,0,205,0,0,0,0.96457,3,1.0726,0,6,2010,1,1
1526,190,1,70,13587,1,1.0118,1,1,1,1,1,1,1,1,5,1,5,5,1958,1958,1,1,2,2,1,0,1,1,2,1,1,2,4,532,1,0,456,988,1,2,1,1,988,0,0,988,1,0,1,0,2,1,1,5,1,0,-0.43433,1,1958,1,1,264,1,1,1,0,0,0,0,0,0,0.99245,1.9803,1.0018,0,4,2010,1,3
1527,30,1,65,7898,1,0.8689,1,1,1,2,1,1,1,1,1,1,4,7,1920,1994,1,1,2,2,1,0,1,1,3,1,1,1,2,0,1,0,576,576,1,3,1,1,985,0,0,985,0,1,1,0,2,1,1,4,1,0,1.9208,2,1989,1,2,676,1,1,2,0,0,0,0,0,0,0.98034,1.9838,0.88993,0,4,2010,1,1
1528,50,1,60,8064,1,0.74083,1,1,1,1,1,1,3,1,1,3,6,8,1948,2004,1,1,8,7,1,0,1,1,2,1,1,1,3,481,2,174,161,816,1,2,1,1,816,408,0,1224,1,0,1,0,3,1,1,5,1,0,-0.32085,2,1950,1,1,280,1,1,1,414,0,0,0,0,0,1.0103,3,0.94,0,5,2010,1,1
1529,20,1,81,7635,1,0.85609,2,1,1,2,1,1,1,1,1,1,5,6,1960,1960,1,1,7,4,1,0,1,1,2,1,1,1,4,588,3,350,237,1175,1,1,1,1,1175,0,0,1175,0,0,1,1,3,1,1,6,1,0,0.98569,2,1960,2,2,484,1,1,1,0,0,0,0,0,0,1.0082,2.1249,1.0224,0,6,2010,1,1
1530,20,1,80,9760,1,0.68344,1,1,1,1,2,1,1,1,1,1,6,7,1963,1984,2,1,4,4,2,218,1,1,2,1,1,3,5,717,3,263,415,1395,1,2,1,1,1395,0,0,1395,1,0,1,0,2,1,1,7,3,1,2,1,1963,2,2,440,1,1,1,657,0,113,0,240,0,1.0041,1.501,1.1953,0,5,2010,1,1
1531,50,2,60,4800,1,1.1463,1,1,1,2,1,2,1,1,1,3,4,5,1900,1954,2,1,4,4,2,771,1,1,1,1,1,1,3,48,1,0,661,709,1,2,1,1,1157,687,0,1844,1,0,1,0,3,1,1,9,2,2,1,5,1900,1,1,240,1,1,1,84,0,0,0,0,0,1.0142,0.65215,0.82585,0,1,2010,3,3
