Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
17,20,191004,60.0,11241,181130,206101,180183,180950,223854,179956,145847,184495,181169,185763,175985,6,7,1970,1970,171483,179803,149841,148386,204691.0,180.0,144341,184034,149805,140759.0,183632.0,165652.0,161573.0,578,184694.0,0,426,1004,182021,214914,186186,186825.0,1004,0,0,1004,1,0,1,0,2,1,139962,5,183429,1,202892.0,1970.0,240052.0,2,480,187489.0,187885.0,186433,0,0,0,0,0,0,700,3,2010,173401,175202,149000
18,90,191004,72.0,10791,181130,164754,180183,180950,176938,179956,136793,184495,181169,133541,175985,4,5,1967,1967,171483,179803,149422,149803,156221.0,0.0,144341,184034,107365,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,0,0,182021,142362,186186,186825.0,1296,0,0,1296,0,0,2,0,2,2,139962,6,183429,0,109962.0,1967.0,142156.0,2,516,187489.0,187885.0,186433,0,0,0,0,0,0,500,10,2006,173401,175202,90000
19,20,191004,66.0,13695,181130,164754,180183,180950,176938,179956,186555,138400,181169,185763,175985,5,5,2004,2004,171483,179803,213732,214432,156221.0,0.0,144341,184034,225230,140759.0,183632.0,165652.0,235413.0,646,184694.0,0,468,1114,182021,214914,186186,186825.0,1114,0,0,1114,1,0,1,1,3,1,212116,6,183429,0,134091.0,2004.0,142156.0,2,576,187489.0,187885.0,186433,0,102,0,0,0,0,0,6,2008,173401,175202,159000
20,20,191004,70.0,7560,181130,164754,180183,180950,176938,179956,145847,184495,181169,185763,175985,5,6,1958,1965,218876,179803,194573,168112,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,151852.0,504,184694.0,0,525,1029,182021,142362,186186,186825.0,1339,0,0,1339,0,0,1,0,3,1,139962,6,146385,0,202892.0,1958.0,142156.0,1,294,187489.0,187885.0,186433,0,0,0,0,0,0,0,5,2009,143973,146526,139000
21,60,191004,101.0,14215,181130,206101,180183,180950,181623,179956,316270,184495,181169,185763,210051,8,5,2005,2006,171483,179803,213732,214432,204691.0,380.0,231633,184034,225230,327041.0,183632.0,206643.0,170670.0,0,184694.0,0,1158,1158,182021,214914,186186,186825.0,1158,1218,0,2376,0,0,3,1,4,1,212116,9,183429,1,254751.0,2005.0,202068.0,3,853,187489.0,187885.0,186433,240,154,0,0,0,0,0,11,2006,274945,272291,325300
22,45,126316,57.0,7449,181130,164754,143104,180950,176938,179956,100123,184495,181169,185763,110150,7,7,1930,1950,171483,179803,149841,148386,156221.0,0.0,144341,184034,225230,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,637,637,182021,214914,186186,107675.0,1108,0,0,1108,0,0,1,0,3,1,212116,6,183429,1,202892.0,1930.0,142156.0,1,280,187489.0,187885.0,115039,0,0,205,0,0,0,0,6,2007,173401,175202,139400
23,20,191004,75.0,9742,181130,164754,180183,180950,176938,179956,197965,184495,181169,185763,175985,8,5,2002,2002,218876,179803,213732,214432,204691.0,281.0,231633,184034,225230,202688.0,183632.0,165652.0,170670.0,0,184694.0,0,1777,1777,182021,214914,186186,186825.0,1795,0,0,1795,0,0,2,0,3,1,212116,7,183429,1,202892.0,2002.0,202068.0,2,534,187489.0,187885.0,186433,171,159,0,0,0,0,0,9,2008,173401,175202,230000
24,120,126316,44.0,4224,181130,164754,180183,180950,176938,179956,98576,184495,181169,181959,175985,5,7,1976,1976,171483,179803,231690,230093,156221.0,0.0,144341,184034,225230,202688.0,183632.0,165652.0,235413.0,840,184694.0,0,200,1040,182021,142362,186186,186825.0,1060,0,0,1060,1,0,1,0,3,1,139962,6,183429,1,202892.0,1976.0,142156.0,2,572,187489.0,187885.0,186433,100,110,0,0,0,0,0,6,2007,173401,175202,129900
25,20,191004,60.0,8246,181130,206101,180183,180950,176938,179956,136793,184495,181169,185763,175985,5,8,1968,2001,171483,179803,175942,168112,156221.0,0.0,144341,168897,149805,140759.0,183632.0,192789.0,146889.0,188,209942.0,668,204,1060,182021,214914,186186,186825.0,1060,0,0,1060,1,0,1,0,3,1,212116,6,183429,1,202892.0,1968.0,142156.0,1,270,187489.0,187885.0,186433,406,90,0,0,0,0,0,5,2010,173401,175202,154000
26,20,191004,110.0,14230,181130,164754,180183,180950,181623,179956,316270,184495,181169,185763,175985,8,5,2007,2007,171483,179803,213732,214432,265583.0,640.0,231633,184034,225230,202688.0,183632.0,165652.0,170670.0,0,184694.0,0,1566,1566,182021,214914,186186,186825.0,1600,0,0,1600,0,0,2,0,3,1,212116,7,183429,1,202892.0,2007.0,202068.0,3,890,187489.0,187885.0,186433,0,56,0,0,0,0,0,7,2009,173401,175202,256300
27,20,191004,60.0,7200,181130,164754,180183,180950,181623,179956,145847,184495,181169,185763,175985,5,7,1951,2000,171483,179803,149841,148386,156221.0,0.0,144341,184034,149805,140759.0,183632.0,192789.0,149493.0,234,164917.0,486,180,900,182021,142362,186186,186825.0,900,0,0,900,0,1,1,0,3,1,212116,5,183429,0,134091.0,2005.0,142156.0,2,576,187489.0,187885.0,186433,222,32,0,0,0,0,0,5,2010,173401,175202,134800
28,20,191004,98.0,11478,181130,164754,180183,180950,176938,179956,316270,184495,181169,185763,175985,8,5,2007,2008,171483,179803,213732,214432,265583.0,200.0,231633,184034,225230,327041.0,183632.0,165652.0,235413.0,1218,184694.0,0,486,1704,182021,214914,186186,186825.0,1704,0,0,1704,1,0,2,0,3,1,212116,7,183429,1,202892.0,2008.0,202068.0,3,772,187489.0,187885.0,186433,0,50,0,0,0,0,0,5,2010,173401,175202,306000
29,20,191004,47.0,16321,181130,206101,180183,180950,223854,179956,145847,184495,181169,185763,175985,5,6,1957,1997,171483,179803,149422,149803,156221.0,0.0,144341,184034,149805,140759.0,183632.0,257689.0,149493.0,1277,184694.0,0,207,1484,182021,142362,186186,186825.0,1600,0,0,1600,1,0,1,0,2,1,139962,6,183429,2,202892.0,1957.0,202068.0,1,319,187489.0,187885.0,186433,288,258,0,0,0,0,0,12,2006,173401,175202,207500
30,30,126316,60.0,6324,181130,206101,180183,180950,176938,179956,124834,142475,96750,185763,175985,4,6,1927,1950,171483,179803,149422,149803,156221.0,0.0,144341,184034,132291,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,520,520,182021,123919,105264,186825.0,520,0,0,520,0,0,1,0,1,1,105565,4,183429,0,134091.0,1920.0,142156.0,1,240,123573.0,187885.0,186433,49,0,87,0,0,0,0,5,2008,173401,175202,68500
31,70,74528,50.0,8500,181130,164754,180183,180950,176938,179956,100123,142475,181169,185763,210051,4,4,1920,1950,148909,179803,194573,195818,156221.0,0.0,144341,102595,132291,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,649,649,182021,142362,105264,186825.0,649,668,0,1317,0,0,1,0,3,1,139962,6,183429,0,134091.0,1920.0,142156.0,1,250,187489.0,114654.0,115039,0,54,172,0,0,0,0,7,2008,173401,175202,40000
32,20,191004,60.0,8544,181130,206101,180183,180950,223854,179956,136793,184495,181169,185763,175985,5,6,1966,2006,171483,179803,163077,167661,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,1228,1228,182021,156858,186186,186825.0,1228,0,0,1228,0,0,1,1,3,1,212116,6,183429,0,202892.0,1966.0,142156.0,1,271,187489.0,187885.0,186433,0,65,0,0,0,0,0,6,2008,173401,175202,149350
33,20,191004,85.0,11049,181130,164754,180183,180950,181623,179956,197965,184495,181169,185763,175985,8,5,2007,2007,171483,179803,213732,214432,156221.0,0.0,231633,184034,225230,327041.0,183632.0,206643.0,170670.0,0,184694.0,0,1234,1234,182021,214914,186186,186825.0,1234,0,0,1234,0,0,2,0,3,1,212116,7,183429,0,202892.0,2007.0,202068.0,2,484,187489.0,187885.0,186433,0,30,0,0,0,0,0,1,2008,173401,175202,179900
34,20,191004,70.0,10552,181130,206101,180183,180950,176938,179956,145847,184495,181169,185763,175985,5,5,1959,1959,218876,179803,194573,195818,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,146889.0,1018,184694.0,0,380,1398,182021,156858,186186,186825.0,1700,0,0,1700,0,1,1,1,4,1,212116,6,183429,1,202892.0,1959.0,202068.0,2,447,187489.0,187885.0,186433,0,38,0,0,0,0,0,4,2010,173401,175202,165500
35,120,191004,60.0,7313,181130,164754,180183,180950,176938,179956,316270,184495,181169,181959,175985,9,5,2005,2005,218876,179803,149422,149803,204691.0,246.0,367360,184034,225230,327041.0,183632.0,165652.0,235413.0,1153,184694.0,0,408,1561,182021,214914,186186,186825.0,1561,0,0,1561,1,0,2,0,2,1,328554,6,183429,1,202892.0,2005.0,240052.0,2,556,187489.0,187885.0,186433,203,47,0,0,0,0,0,8,2007,173401,175202,277500
36,60,191004,108.0,13418,181130,164754,180183,180950,176938,179956,316270,184495,181169,185763,210051,8,5,2004,2005,171483,179803,213732,214432,265583.0,132.0,231633,184034,225230,327041.0,183632.0,206643.0,170670.0,0,184694.0,0,1117,1117,182021,214914,186186,186825.0,1132,1320,0,2452,0,0,3,1,4,1,212116,9,183429,1,254751.0,2004.0,240052.0,3,691,187489.0,187885.0,186433,113,32,0,0,0,0,0,9,2006,173401,175202,309000
37,20,191004,112.0,10859,181130,164754,180183,180950,181623,179956,197965,184495,181169,185763,175985,5,5,1994,1995,171483,179803,213732,214432,156221.0,0.0,144341,184034,225230,202688.0,183632.0,165652.0,170670.0,0,184694.0,0,1097,1097,182021,214914,186186,186825.0,1097,0,0,1097,0,0,1,1,3,1,139962,6,183429,0,202892.0,1995.0,142156.0,2,672,187489.0,187885.0,186433,392,64,0,0,0,0,0,6,2009,173401,175202,145000
38,20,191004,74.0,8532,181130,164754,180183,180950,176938,179956,145847,184495,181169,185763,175985,5,6,1954,1990,218876,179803,149841,148386,204691.0,650.0,144341,184034,149805,140759.0,183632.0,165652.0,146889.0,1213,184694.0,0,84,1297,182021,156858,186186,186825.0,1297,0,0,1297,0,1,1,0,3,1,139962,5,183429,1,202892.0,1954.0,240052.0,2,498,187489.0,187885.0,186433,0,0,0,0,0,0,0,10,2009,173401,175202,153000
39,20,191004,68.0,7922,181130,164754,180183,180950,176938,179956,145847,184495,181169,185763,175985,5,7,1953,2007,171483,179803,213732,214432,156221.0,0.0,144341,168897,149805,140759.0,183632.0,165652.0,235413.0,731,184694.0,0,326,1057,182021,142362,186186,186825.0,1057,0,0,1057,1,0,1,0,3,1,212116,5,183429,0,134091.0,1953.0,142156.0,1,246,187489.0,187885.0,186433,0,52,0,0,0,0,0,1,2010,173401,146526,109000
40,90,191004,65.0,6040,181130,164754,180183,180950,176938,179956,128219,184495,181169,133541,175985,4,5,1955,1955,171483,179803,107385,168112,156221.0,0.0,144341,184034,225230,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,0,0,182021,142362,105264,97333.0,1152,0,0,1152,0,0,2,0,2,2,105565,6,183429,0,202892.0,2005.0,142156.0,0,0,187489.0,187885.0,115039,0,0,0,0,0,0,0,6,2008,173401,104125,82000
41,20,191004,84.0,8658,181130,164754,180183,180950,176938,179956,145847,184495,181169,185763,175985,6,5,1965,1965,171483,179803,149841,148386,204691.0,101.0,144341,184034,149805,140759.0,183632.0,165652.0,146889.0,643,184694.0,0,445,1088,182021,214914,186186,186825.0,1324,0,0,1324,0,0,2,0,3,1,139962,6,183429,1,202892.0,1965.0,202068.0,2,440,187489.0,187885.0,186433,0,138,0,0,0,0,0,12,2006,173401,146526,160000
42,20,191004,115.0,16905,181130,164754,180183,180950,176938,179956,242247,184495,181169,185763,175985,5,6,1959,1959,171483,179803,213732,214432,156221.0,0.0,144341,168897,149805,140759.0,183632.0,257689.0,149493.0,967,184694.0,0,383,1350,182021,156858,186186,186825.0,1328,0,0,1328,0,1,1,1,2,1,139962,5,183429,2,202892.0,1959.0,202068.0,1,308,187489.0,187885.0,132330,0,104,0,0,0,0,0,7,2007,173401,175202,170000
43,85,191004,60.0,9180,181130,206101,180183,180950,223854,179956,186555,184495,181169,185763,135074,5,7,1983,1983,171483,179803,163077,167661,156221.0,0.0,144341,184034,149805,202688.0,183632.0,206643.0,161573.0,747,164364.0,93,0,840,182021,156858,186186,186825.0,884,0,0,884,1,0,1,0,2,1,212116,5,183429,0,202892.0,1983.0,202068.0,2,504,187489.0,179930.0,186433,240,0,0,0,0,0,0,12,2007,173401,175202,144000
44,20,191004,60.0,9200,181130,206101,180183,180950,223854,179956,197965,184495,181169,185763,175985,5,6,1975,1980,218876,179803,213732,214432,156221.0,0.0,144341,184034,149805,202688.0,183632.0,206643.0,151852.0,280,151101.0,491,167,938,182021,142362,186186,186825.0,938,0,0,938,1,0,1,0,3,1,139962,5,183429,0,134091.0,1977.0,142156.0,1,308,187489.0,187885.0,186433,145,0,0,0,0,0,0,7,2008,173401,175202,130250
45,20,191004,70.0,7945,181130,164754,180183,180950,176938,179956,145847,184495,181169,185763,175985,5,6,1959,1959,171483,179803,194573,148386,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,161573.0,179,151101.0,506,465,1150,182021,214914,186186,122196.0,1150,0,0,1150,1,0,1,0,3,1,139962,6,183429,0,202892.0,1959.0,202068.0,1,300,187489.0,187885.0,186433,0,0,0,0,0,0,0,5,2006,173401,175202,141000
46,120,191004,61.0,7658,181130,164754,180183,180950,176938,179956,316270,184495,181169,181959,175985,9,5,2005,2005,218876,179803,149422,149803,204691.0,412.0,367360,184034,225230,327041.0,183632.0,165652.0,235413.0,456,184694.0,0,1296,1752,182021,214914,186186,186825.0,1752,0,0,1752,1,0,2,0,2,1,328554,6,183429,1,202892.0,2005.0,202068.0,2,576,187489.0,187885.0,186433,196,82,0,0,0,0,0,2,2010,173401,175202,319900
47,50,191004,48.0,12822,181130,206101,180183,180950,223854,179956,156270,184495,181169,185763,143116,7,5,2003,2003,171483,179803,213732,214432,156221.0,0.0,231633,184034,225230,327041.0,183632.0,165652.0,235413.0,1351,184694.0,0,83,1434,182021,214914,186186,186825.0,1518,631,0,2149,1,0,1,1,1,1,212116,6,183429,1,202892.0,2003.0,202068.0,2,670,187489.0,187885.0,186433,168,43,0,0,198,0,0,8,2009,173401,146526,239686
48,20,214014,84.0,11096,181130,164754,180183,180950,176938,179956,225379,184495,181169,185763,175985,8,5,2006,2006,171483,179803,213732,214432,156221.0,0.0,231633,184034,225230,202688.0,183632.0,206643.0,235413.0,24,184694.0,0,1632,1656,182021,214914,186186,186825.0,1656,0,0,1656,0,0,2,0,3,1,212116,7,183429,0,202892.0,2006.0,202068.0,3,826,187489.0,187885.0,186433,0,146,0,0,0,0,0,7,2007,173401,175202,249700
49,190,126316,33.0,4456,181130,164754,180183,180950,176938,179956,128225,184495,181169,128432,210051,4,5,1920,2008,171483,179803,149422,149803,156221.0,0.0,144341,184034,132291,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,736,736,182021,156858,186186,186825.0,736,716,0,1452,0,0,2,0,2,3,139962,8,183429,0,202892.0,2005.0,142156.0,0,0,187489.0,187885.0,115039,0,0,102,0,0,0,0,6,2009,274945,272291,113000
50,20,191004,66.0,7742,181130,164754,180183,180950,176938,179956,136793,184495,181169,185763,175985,5,7,1966,1966,171483,179803,163077,167661,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,149493.0,763,184694.0,0,192,955,182021,214914,186186,186825.0,955,0,0,955,1,0,1,0,3,1,139962,6,183429,0,202892.0,1966.0,142156.0,1,386,187489.0,187885.0,186433,0,0,0,0,0,0,0,1,2007,173401,175202,127000
51,60,191004,60.0,13869,181130,239833,180183,180950,181623,179956,192854,184495,181169,185763,210051,6,6,1997,1997,171483,179803,213732,214432,156221.0,0.0,144341,184034,225230,202688.0,183632.0,206643.0,235413.0,182,184694.0,0,612,794,182021,156858,186186,186825.0,794,676,0,1470,0,1,2,0,3,1,139962,6,183429,0,202892.0,1997.0,240052.0,2,388,187489.0,187885.0,186433,0,75,0,0,0,0,0,7,2007,173401,175202,177000
52,50,126316,52.0,6240,181130,164754,180183,180950,176938,179956,124834,184495,181169,185763,143116,6,6,1934,1950,171483,179803,149841,148386,156221.0,0.0,144341,184034,225230,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,816,816,182021,142362,186186,186825.0,816,0,360,1176,0,0,1,0,3,1,139962,6,183429,1,134091.0,1985.0,142156.0,2,528,187489.0,187885.0,186433,112,0,0,0,0,0,400,9,2006,173401,175202,114500
53,90,126316,110.0,8472,130190,239833,143104,180950,181623,196734,100123,212400,181169,133541,175985,5,5,1963,1963,171483,179803,149841,148386,156221.0,0.0,87985,184034,149805,202688.0,183632.0,257689.0,151852.0,104,180982.0,712,0,816,182021,142362,105264,186825.0,816,0,0,816,1,0,1,0,2,1,139962,5,183429,0,109962.0,1963.0,142156.0,2,516,187489.0,187885.0,186433,106,0,0,0,0,0,0,5,2010,173401,175202,110000
54,20,191004,68.0,50271,181130,206101,203661,180950,176938,179956,238772,184495,181169,185763,175985,9,5,1981,1987,171483,390250,150655,161328,156221.0,0.0,231633,184034,149805,327041.0,183632.0,257689.0,235413.0,1810,184694.0,0,32,1842,182021,156858,186186,186825.0,1842,0,0,1842,2,0,0,1,0,1,212116,5,183429,1,202892.0,1981.0,240052.0,3,894,187489.0,187885.0,186433,857,72,0,0,0,0,0,11,2006,173401,175202,385000
55,80,191004,60.0,7134,181130,164754,143104,180950,176938,196734,145847,184495,181169,185763,166703,5,5,1955,1955,171483,179803,149422,149803,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,161573.0,384,184694.0,0,0,384,182021,142362,186186,186825.0,1360,0,0,1360,0,0,1,0,3,1,139962,6,146385,1,134091.0,1962.0,142156.0,2,572,187489.0,187885.0,186433,0,50,0,0,0,0,0,2,2007,173401,175202,130000
56,20,191004,100.0,10175,181130,206101,180183,180950,176938,179956,145847,184495,181169,185763,175985,6,5,1964,1964,171483,179803,163077,168112,204691.0,272.0,144341,184034,149805,140759.0,183632.0,165652.0,149493.0,490,184694.0,0,935,1425,182021,156858,186186,186825.0,1425,0,0,1425,0,0,2,0,3,1,139962,7,183429,1,202892.0,1964.0,202068.0,2,576,187489.0,187885.0,186433,0,0,0,407,0,0,0,7,2008,173401,175202,180500
57,160,214014,24.0,2645,181130,164754,180183,180950,176938,179956,225379,184495,181169,135911,210051,8,5,1999,2000,171483,179803,149422,149803,204691.0,456.0,231633,184034,225230,202688.0,183632.0,165652.0,235413.0,649,184694.0,0,321,970,182021,214914,186186,186825.0,983,756,0,1739,1,0,2,1,3,1,212116,7,183429,0,202892.0,1999.0,240052.0,2,480,187489.0,187885.0,186433,115,0,0,0,0,0,0,8,2009,173401,146526,172500
